b'71872,descending,328.23,95645.41,25.54,40.45,5.59,-0.10,8.26,0.06,-0.12,-0.08\r\n'
b'73996,descending,339.13,95520.58,25.55,40.43,5.37,0.20,8.34,0.07,-0.12,-0.08\r\n'
b'76114,descending,348.33,95415.25,25.55,40.41,5.36,0.15,8.21,0.06,-0.13,-0.07\r\n'
b'78232,descending,357.36,95312.03,25.56,40.37,5.38,0.20,8.29,0.06,-0.13,-0.07\r\n'
b'80350,descending,365.45,95219.48,25.58,40.35,5.46,0.03,8.23,0.06,-0.12,-0.08\r\n'
b'82468,descending,373.84,95123.77,25.58,40.36,5.40,0.16,8.27,0.06,-0.12,-0.07\r\n'
b'84586,descending,382.17,95028.70,25.59,40.35,5.47,0.24,8.26,0.06,-0.13,-0.08\r\n'
b'86704,descending,389.48,94945.38,25.60,40.32,5.50,0.25,8.22,0.07,-0.12,-0.08\r\n'
b'88822,descending,394.62,94886.85,25.60,40.31,5.43,0.48,8.13,0.14,-0.13,0.03\r\n'
b'90940,descending,372.79,95135.71,25.62,40.35,5.47,0.04,8.27,0.06,-0.12,-0.07\r\n'
b'93058,descending,350.08,95395.17,25.63,40.40,5.41,0.02,8.22,0.06,-0.13,-0.07\r\n'
b'95176,descending,328.68,95640.22,25.64,40.48,5.44,0.05,8.22,0.06,-0.12,-0.07\r\n'
b'97294,descending,308.31,95873.96,25.65,40.49,5.43,0.05,8.28,0.06,-0.13,-0.07\r\n'
b'99414,descending,287.32,96115.34,25.66,40.53,5.56,0.10,8.11,0.07,-0.13,-0.07\r\n'
b'101534,descending,268.61,96330.86,25.67,40.55,5.78,0.62,8.22,-0.10,-0.12,-0.25\r\n'
b'103658,descending,183.90,97311.50,25.69,40.70,5.37,0.07,8.30,0.07,-0.11,-0.08\r\n'
b'105782,descending,169.66,97477.16,25.69,40.75,5.50,-0.03,8.26,0.06,-0.12,-0.08\r\n'
b'107906,descending,149.31,97714.23,25.71,40.79,5.46,-0.03,8.28,0.06,-0.13,-0.08\r\n'
b'110030,descending,112.22,98147.56,25.72,40.84,5.47,-0.04,8.32,0.06,-0.13,-0.08\r\n'
b'112154,descending,55.23,98816.55,25.73,40.94,5.43,-0.02,8.30,0.06,-0.12,-0.08\r\n'
b'114278,descending,13.74,99305.88,25.74,41.02,5.47,-0.02,8.24,0.06,-0.12,-0.08\r\n'
b'48688,goForLaunch,0.11,99463.41,26.00,40.43,5.43,-0.20,8.23,0.06,-0.14,-0.07\r\n'
b'51050,goForLaunch,0.21,99462.20,26.01,40.41,5.40,-0.18,8.27,0.06,-0.13,-0.07\r\n'
b'53170,goForLaunch,-2.67,99496.36,26.02,40.40,5.39,-0.21,8.28,0.06,-0.13,-0.07\r\n'
b'55292,ascending,19.78,99230.94,26.03,40.35,5.02,-0.06,8.55,0.07,-0.12,-0.08\r\n'
b'57410,ascending,66.90,98675.75,26.04,40.25,5.52,-0.27,8.21,0.07,-0.12,-0.08\r\n'
b'59528,ascending,103.42,98247.17,26.04,40.14,5.27,-0.12,8.38,0.06,-0.15,-0.07\r\n'
b'61646,ascending,134.08,97888.52,26.05,40.06,5.07,-0.11,8.47,0.06,-0.13,-0.08\r\n'
